Tag,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000227440,1.76565321879345,-inf,9.64125706245966,1.71158094219089e-20,2.90831115551226e-19,35.5829972339071
ENSG00000101898,1.33911146519775,-inf,9.63087014654294,1.68942967698501e-20,2.8726806862295403e-19,35.5703608844578
ENSG00000115307,0.689591129745263,5.75654545492301,9.63027837749453,1.68921783364772e-20,2.8726806862295403e-19,35.5702598085041
ENSG00000030110,0.844226502977119,3.76442084422207,9.62944681592537,1.70108794293923e-20,2.8914925065763603e-19,35.5633455739447
ENSG00000139719,0.547272317421205,1.46344791736685,9.62854780627509,1.71401386190257e-20,2.9114271809465e-19,35.5558710148909
ENSG00000108468,0.786875463266134,4.5006633248402,9.62721987742656,1.7332850747207402e-20,2.94313259176114e-19,35.5448312612597
ENSG00000160803,0.778644655057322,3.9738712116502,9.62643839707784,1.7447263258801402e-20,2.9615251574850503e-19,35.5383349336644
ENSG00000256234,-1.63870690937464,-inf,-9.62762302436944,1.77232897280502e-20,3.0064467398173e-19,35.5239674053425
ENSG00000196296,1.68207124322101,-2.16080795306109,9.62456709005404,1.7724283205911002e-20,3.0064467398173e-19,35.5227806064807
ENSG00000117222,0.574630868142798,2.94015642640982,9.62417849080828,1.77823540846348e-20,3.01524445726098e-19,35.5195508414842
ENSG00000110031,-1.08069803539334,3.27183391442277,-9.62065621074326,1.83173873164716e-20,3.10488340222731e-19,35.4902804562738
ENSG00000146216,1.60458932643031,-inf,9.62406846100427,1.8355762459284802e-20,3.11030330625475e-19,35.4895735320545
ENSG00000128923,-0.909312765680207,1.72974898528895,-9.62019227258367,1.8389038322839702e-20,3.11485568272932e-19,35.486425681824
ENSG00000162878,-1.68090662487442,1.44087310281856,-9.61613707422987,1.90272710532482e-20,3.22184073649723e-19,35.4527375839412
ENSG00000004455,0.671239695695156,4.60263363303801,9.61177417952219,1.97384633359401e-20,3.3411010196331603e-19,35.4165049176821
ENSG00000196976,1.1109625772939,4.29052586467057,9.61138222706407,1.98036305740031e-20,3.35096460656278e-19,35.4132504459899
ENSG00000106133,1.49100655696609,-0.98008771322056,9.61072544656176,1.99133073587591e-20,3.3671781409659504e-19,35.40779726329
ENSG00000157999,1.63772331047614,-inf,9.60924640941673,2.02649405986563e-20,3.4254445852970403e-19,35.3907387254102
ENSG00000174437,0.785178398715056,4.80788992437026,9.60855849952493,2.02794569828535e-20,3.4267064360074104e-19,35.3898072501641
ENSG00000087087,0.725159134789828,4.32871026293616,9.60751342800302,2.04584204679643e-20,3.4545443345436504e-19,35.3811321167723
ENSG00000172269,0.697125245439033,3.19547036909538,9.60666597398489,2.0604691577462302e-20,3.47803472243812e-19,35.3740979115364
ENSG00000160691,0.838115625991762,5.21532172320248,9.60343104648789,2.1172635149969e-20,3.57266163327446e-19,35.347250896663
ENSG00000133104,-0.780045418375421,2.81481128161984,-9.60203751257119,2.14220488357059e-20,3.61223909531159e-19,35.3356878438867
ENSG00000243244,-1.25328860199321,0.0194710110408509,-9.59858305093387,2.20529535723435e-20,3.7160450234229503e-19,35.3070292295246
ENSG00000205560,1.88936099268702,-inf,9.59787802685439,2.2296187985775202e-20,3.7557291076073404e-19,35.3016481135748
ENSG00000261222,-1.71129949423638,-inf,-9.62304123582563,2.2821115138850602e-20,3.8428195855950204e-19,35.283848330957
ENSG00000176749,1.42779568384552,0.0709634145305365,9.59402717040444,2.29132555618395e-20,3.85699854706864e-19,35.2692446461732
ENSG00000185619,0.776433390589563,2.9348791791951,9.5930812453736,2.30960051411448e-20,3.88641468782622e-19,35.2614011810285
ENSG00000129317,0.873372861886963,0.695667074949259,9.59180348545004,2.33451598306168e-20,3.92698072789369e-19,35.2508070900226
ENSG00000243989,0.959593260683867,0.413576217414225,9.59127440622655,2.34491050131353e-20,3.9431008869319603e-19,35.2464207204073
ENSG00000132205,-1.18882146188798,2.21201848517137,-9.58660939320298,2.43856945849655e-20,4.0977579520939504e-19,35.2077527534588
ENSG00000137364,0.641100875827569,3.63820584426094,9.5804587923767,2.5677427089203703e-20,4.3118380243746803e-19,35.1567918939967
ENSG00000101336,-1.52753410634293,3.29845939777683,-9.57862246899887,2.6076070749764702e-20,4.37575556017374e-19,35.1415816606946
ENSG00000215493,1.61421570689765,-inf,9.57719213667618,2.65232979235196e-20,4.44926720465751e-19,35.1250159140017
ENSG00000207808,-1.74609816199833,-inf,-9.7149994809409,2.87216772460594e-20,4.80477572849138e-19,35.1056186596358
ENSG00000124783,0.62066683158616,4.26260367610928,9.57371718702696,2.71712781814565e-20,4.5563927045695e-19,35.1009617671226
ENSG00000065600,0.921528901846706,1.94928973425133,9.57247819318252,2.74550462880494e-20,4.60239008092562e-19,35.0907042580624
ENSG00000101265,-1.2900075810482,2.57432066032595,-9.57137524624569,2.7710125455913404e-20,4.64354816131388e-19,35.0815738861235
ENSG00000279348,-1.35423427735813,-0.776171929026533,-9.5697150033994,2.8098526099095604e-20,4.70538963762146e-19,35.0678315821942
ENSG00000198466,1.04097082181546,1.32838889207905,9.56931675858374,2.8192491795661503e-20,4.7194988763133305e-19,35.0645354558685
ENSG00000109667,-1.15100647167803,-0.638092157420661,-9.56807530387268,2.84874157682413e-20,4.76722776890229e-19,35.0542610352931
ENSG00000151552,-0.807899029730389,3.11219019554703,-9.56668877218627,2.8820420480209403e-20,4.819635148233771e-19,35.0427870956362
ENSG00000112118,0.884609064346112,4.60414279845743,9.56546381464101,2.91178278830158e-20,4.86769549924636e-19,35.0326512411134
ENSG00000184840,0.73722388665353,6.50375130671998,9.56536129545102,2.9142856014066004e-20,4.8702041737124e-19,35.031802993948
ENSG00000134825,0.697629368631648,4.5344683613001,9.56236856570249,2.98829454785984e-20,4.98873755212451e-19,35.0070439850672
ENSG00000090621,0.637504581676734,4.64169762747366,9.56123205519191,3.01688538790152e-20,5.03473829656079e-19,34.9976430620968
ENSG00000126351,-0.938357968747375,2.5503320642089,-9.56021390051687,3.04272892305629e-20,5.07264142277072e-19,34.9892218437069
ENSG00000175216,0.832827155847485,3.51221874628185,9.55976882086757,3.0540950629227404e-20,5.08984423089357e-19,34.9855407697205
ENSG00000076248,0.830396217658032,3.81716504856508,9.55950808857113,3.06077300144276e-20,5.099224736068361e-19,34.9833844165732
ENSG00000110651,-0.864032372184568,6.12104516679815,-9.55805227229941,3.09832657447803e-20,5.15648549794209e-19,34.9713450665242
ENSG00000119912,0.717558408858544,2.74298476982534,9.5574458604137,3.11410369439542e-20,5.18096875167868e-19,34.9663305411671
ENSG00000166477,0.601532072614486,2.96190897563024,9.55620988257725,3.14650728122546e-20,5.2312971038561e-19,34.9561107476825
ENSG00000100100,-1.02984136570385,3.82837052886957,-9.5560453886631,3.15084493224538e-20,5.2367172083559805e-19,34.9547506880829
ENSG00000115902,1.0742865016842,2.53777351550035,9.55537289244776,3.1686401652119703e-20,5.264492516540371e-19,34.9491905701371
ENSG00000077312,0.704885216687807,4.43466052698154,9.54974787386203,3.32144072836626e-20,5.51491493416333e-19,34.9026948306538
ENSG00000215784,1.96367425490904,-inf,9.55109630769476,3.40124015778841e-20,5.645152593853941e-19,34.8913768398355
ENSG00000213983,1.04165827853644,2.58447985305516,9.54579478904069,3.43317145925459e-20,5.696204622922331e-19,34.8700311147116
ENSG00000111788,1.54692714204588,-0.243642750285636,9.5451774063291,3.45095440833738e-20,5.72375533726865e-19,34.8649306746171
ENSG00000074660,-1.26477933784736,1.80318558910365,-9.54416325349285,3.48036417968068e-20,5.77056492800894e-19,34.856552886692
ENSG00000134058,0.654861698104562,3.2532871848519,9.54260718509516,3.52597278547707e-20,5.84419165947575e-19,34.8436996731016
